X,Y,OBJECTID,GLOBALID,TRCMID,ASSETID,TRCM_CAT,ASSETCODE,OWNER,LOCGEN,INSTYR,MAT,ASSETDESC,ASSETSTAT,LOCATION,MAINTBY,ADDDATE,MODDATE,SDATE,SOURCE,SACC
-63.729945362,44.7117804710001,654,{91488CF1-01A9-4BE3-BE83-6ED7CB499109},TRCLM37,TRCLM37,VERTI,SPDHMP,HRM,ROW,2017,ASPH,,INS,TERRADORE LN,HRM,2021/10/07 15:57:03+00,2021/10/07 16:01:26+00,,Traffic Management,
-63.739215996,44.719532707,655,{D901C097-84C9-4BAA-A63A-FC20CD715B0E},TRCLM642,TRCLM642,VERTI,SPDTBL,HRM,ROW,2022,ASPH,,INS,BRENDA DR,HRM,2021/11/19 19:58:27+00,2022/10/26 21:25:28+00,2022/06/03 03:00:00+00,Traffic Management,
-63.5769138439999,44.681611704,656,{872FF30C-D577-47EB-A14B-F3BCCDA440FF},TRCLM354,TRCLM354,VERTI,SPDTBL,HRM,ROW,2023,ASPH,,INS,PINEHILL RD,HRM,2021/10/27 14:38:33+00,2023/10/13 15:37:46+00,2022/06/03 03:00:00+00,Traffic Management,
-63.479811033,44.6791318670001,657,{3A7469F2-239B-47BC-B856-C5F6BFBA8B61},TRCLM787,TRCLM787,VERTI,SPDTBL,HRM,ROW,2022,ASPH,,INS,COLE DR,HRM,2021/11/22 18:04:13+00,2022/12/14 18:51:52+00,2022/06/03 03:00:00+00,Traffic Management,
-63.7459058219999,44.7241441940001,658,{30EF77D8-3CF2-4160-911D-6F19CB3BAE68},TRCLM681,TRCLM681,VERTI,SPDTBL,HRM,ROW,2022,ASPH,,INS,ST GEORGE BLVD,HRM,2021/11/19 21:52:28+00,2022/10/26 21:30:27+00,2022/04/13 03:00:00+00,Traffic Management,
-63.616104545,44.62451178,659,{346CA613-1806-4E96-903B-25EE4F87112B},TRCLM340,TRCLM340,VERTI,SPDTBL,HRM,ROW,2022,ASPH,,INS,BRYDEN AVE,HRM,2021/10/27 14:38:33+00,2022/09/29 20:51:09+00,2022/04/19 03:00:00+00,Traffic Management,
-63.546049215,44.6975809260001,664,{8CAA57A7-3783-4DF5-8F1B-E30283B6F46A},TRCLM694,TRCLM694,VERTI,SPDTBL,HRM,ROW,2022,ASPH,,INS,MICMAC DR,HRM,2021/11/19 22:18:55+00,2022/12/14 21:30:06+00,2022/06/03 03:00:00+00,Traffic Management,
-63.751170605,44.781654105,669,{ABB94B46-B611-4942-9219-BC5EB0BDD0D0},TRCLM462,TRCLM462,VERTI,SPDTBL,HRM,ROW,2021,ASPH,,INS,MCCABE LAKE DR,HRM,2021/11/15 23:29:37+00,2021/11/15 23:30:23+00,2021/11/15 04:00:00+00,Traffic Management,
-63.6296407409999,44.6314190620001,670,{324969C6-6E1E-444F-B518-0EC0A29B6F37},TRCLM906,TRCLM906,VERTI,SPDTBL,HRM,ROW,2021,ASPH,,INS,OSBORNE ST,HRM,2021/12/15 18:44:47+00,2021/12/15 18:45:14+00,2021/12/15 04:00:00+00,Traffic Management,
-63.593752814,44.6580131430001,671,{7255885A-2EEE-40D3-9D2C-78E22E6420FA},TRCLM1313,TRCLM1313,VERTI,SPDTBL,HRM,ROW,2022,ASPH,AT Bikeway Project,INS,NORTHWOOD TERR,HRM,2022/08/09 18:58:56+00,2022/12/14 23:33:46+00,2022/08/09 03:00:00+00,Traffic Management,
-63.5970287819999,44.64372259,672,{E86B335D-57B7-43D8-BCE4-5D48FD9DB08D},TRCLM542,TRCLM542,VERTI,SPDHMP,HRM,ROW,2021,ASPH,,INS,PRESTON ST,HRM,2021/11/17 22:51:48+00,2021/11/17 22:52:18+00,2021/11/17 04:00:00+00,Traffic Management,
-63.4912252779999,44.6921424600001,673,{A762CBFE-CA79-43E6-8F44-0C5DA74599F4},TRCLM174,TRCLM174,VERTI,SPDTBL,HRM,ROW,2020,ASPH,,INS,HILLSBORO DR,HRM,2021/10/07 15:57:03+00,2021/10/07 16:01:26+00,,Traffic Management,
-63.453953266,44.704847462,674,{23EC5F37-645E-4D03-805A-975846CBAFB1},TRCLM130,TRCLM130,VERTI,SPDHMP,HRM,ROW,2019,ASPH,,INS,SALMON RIVER DR,HRM,2021/10/07 15:57:03+00,2021/10/07 16:01:25+00,,Traffic Management,
-63.493217278,44.668686458,675,{E980D063-B874-4E74-8F79-C1BD5BDDFDD8},TRCLM44,TRCLM44,VERTI,SPDHMP,HRM,ROW,2017,ASPH,,INS,HAMPTON GREEN,HRM,2021/10/07 15:57:03+00,2021/10/07 16:01:26+00,,Traffic Management,
-63.6357838169999,44.6517638770001,676,{851AD725-D65B-468A-99D0-47CED468BE2A},TRCLM579,TRCLM579,VERTI,SPDHMP,HRM,ROW,2021,ASPH,,INS,ALEX ST,HRM,2021/11/18 17:52:56+00,2021/11/18 17:53:25+00,2021/11/18 04:00:00+00,Traffic Management,
-63.59891986,44.824572806,677,{DE1C1CCB-801D-4CBB-B502-B9D6C6D24453},TRCLM659,TRCLM659,VERTI,SPDTBL,HRM,ROW,2022,ASPH,,INS,ROBERT ST,HRM,2021/11/19 21:19:26+00,2022/09/29 21:25:07+00,2022/04/14 03:00:00+00,Traffic Management,
-63.519683312,44.6851479160001,678,{A27491AC-DF24-4870-B3A8-3D9C4E30ABCD},TRCLM827,TRCLM827,VERTI,SPDTBL,HRM,ROW,2021,ASPH,,INS,BRIGADOON AVE,HRM,2021/11/23 17:46:46+00,2022/12/14 23:06:37+00,2021/11/23 04:00:00+00,Traffic Management,
-63.492745762,44.695957514,679,{CB53CD89-432F-41BB-8470-410359474F6A},TRCLM419,TRCLM419,VERTI,SPDTBL,HRM,ROW,2021,ASPH,,INS,HILLSBORO DR,HRM,2021/11/15 20:43:59+00,2021/11/15 20:44:50+00,2021/11/15 04:00:00+00,Traffic Management,
